label,clients,test,ops_per_sec
day-3c-epoll-nopipe,1,set,15179.11
day-3c-epoll-nopipe,1,get,15512.29
day-3c-epoll-nopipe,2,set,29603.31
day-3c-epoll-nopipe,2,get,29625.24
day-3c-epoll-nopipe,4,set,49950.05
day-3c-epoll-nopipe,4,get,49950.05
day-3c-epoll-nopipe,8,set,114155.25
day-3c-epoll-nopipe,8,get,114155.25
day-3c-epoll-nopipe,16,set,159616.92
day-3c-epoll-nopipe,16,get,159744.41
day-3c-epoll-nopipe,32,set,199600.80
day-3c-epoll-nopipe,32,get,199800.19
day-3c-epoll-nopipe,64,set,265957.47
day-3c-epoll-nopipe,64,get,265252.00
